Type,Description,ICC,F,df1,df2,pval,CI95%
ICC1,Single raters absolute,0.9037674037674038,47.95744680851063,94,380,9.751193157971084e-164,[0.87 0.93]
ICC2,Single random raters,0.9037761601455868,48.18527315914488,94,376,7.730083440689519e-163,[0.87 0.93]
ICC3,Single fixed raters,0.9041875284478834,48.18527315914488,94,376,7.730083440689519e-163,[0.87 0.93]
ICC1k,Average raters absolute,0.9791481810115351,47.95744680851063,94,380,9.751193157971084e-164,[0.97 0.99]
ICC2k,Average random raters,0.97915023659306,48.18527315914488,94,376,7.730083440689519e-163,[0.97 0.99]
ICC3k,Average fixed raters,0.979246771172237,48.18527315914488,94,376,7.730083440689519e-163,[0.97 0.99]
